target_rank,p_val,q_val,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9
10,5,2,0:00:01.123025,0:00:01.134543,0:00:01.112573,0:00:01.124423,0:00:01.126615,0:00:01.127572,0:00:01.123228,0:00:01.126000,0:00:01.123133,0:00:01.122699,0.037055708842274666,0.03228951530177398,0.03596814961563412,0.03940080858625467,0.036878408191162795,0.03526491352111638,0.03933292829328031,0.03392499944459031,0.03678691113449056,0.0377953890720474
10,5,3,0:00:01.269944,0:00:01.203963,0:00:01.207587,0:00:01.201378,0:00:01.200588,0:00:01.199472,0:00:01.206932,0:00:01.203143,0:00:01.198293,0:00:01.210628,0.029795457181300233,0.02979522750550808,0.029751034580892836,0.029743311950121424,0.029875900323308162,0.02976737714353404,0.029824076629993007,0.029691441935797588,0.029688013240638154,0.03072383291630366
10,8,0,0:00:00.964624,0:00:00.978615,0:00:00.972932,0:00:00.969934,0:00:00.969649,0:00:00.971573,0:00:00.974029,0:00:00.970970,0:00:00.964983,0:00:00.975546,0.120686043455977,0.12516999414730484,0.13293160433414142,0.15124258389313333,0.12791100488778115,0.1220224250705072,0.11735900886387209,0.15729942336904806,0.12524120277555784,0.11121854801496966
10,8,1,0:00:01.068117,0:00:01.065341,0:00:01.059347,0:00:01.064871,0:00:01.064999,0:00:01.063933,0:00:01.060001,0:00:01.060185,0:00:01.070633,0:00:01.063382,0.04019693359411105,0.04067212462467797,0.0402185539422291,0.03973405414546267,0.040494366981542,0.04039597691030626,0.04003597819977045,0.04017397762674243,0.0400429297204479,0.03996318352211415
10,8,2,0:00:01.154539,0:00:01.151954,0:00:01.153148,0:00:01.154924,0:00:01.157955,0:00:01.150954,0:00:01.158691,0:00:01.156533,0:00:01.153172,0:00:01.162001,0.03611784163469255,0.035949668658566226,0.035328424184134656,0.03405968275134372,0.03749689431112029,0.03424636541405104,0.0313091436316696,0.03310987288173354,0.03136225140771244,0.031322444966172314
10,8,3,0:00:01.242037,0:00:01.238953,0:00:01.254494,0:00:01.249613,0:00:01.269535,0:00:01.244932,0:00:01.256567,0:00:01.250044,0:00:01.247000,0:00:01.248284,0.029713251377969232,0.029826621891735062,0.02969289673367469,0.029696445670111343,0.029811404859876156,0.029642357117104032,0.02967006442172877,0.029739791034690103,0.029689599732323484,0.02978787751103618
10,10,0,0:00:00.982000,0:00:00.982616,0:00:00.975999,0:00:00.985897,0:00:00.980354,0:00:00.987559,0:00:00.981442,0:00:00.979006,0:00:00.979955,0:00:00.982626,0.12458065679996894,0.15299403939679426,0.12443557353539025,0.1228524556685422,0.14232415661248934,0.13559325257708996,0.1175698935938995,0.1277348591269329,0.13351717191836518,0.12975506661107608
10,10,1,0:00:01.075905,0:00:01.082395,0:00:01.081861,0:00:01.082172,0:00:01.086003,0:00:01.081127,0:00:01.079604,0:00:01.084372,0:00:01.074513,0:00:01.079243,0.04014756710640454,0.039422189631546305,0.04001507248497997,0.03943692977464577,0.040892860510798205,0.04054642391511292,0.04019428794575019,0.04036633673207586,0.03944128508106112,0.040159618759697195
10,10,2,0:00:01.179023,0:00:01.184536,0:00:01.180291,0:00:01.170109,0:00:01.165000,0:00:01.174295,0:00:01.169630,0:00:01.168327,0:00:01.168410,0:00:01.180001,0.031206188858005093,0.036518517064109,0.03343320482535616,0.03183334989196768,0.03368684931270848,0.03172677648569341,0.03580958932382695,0.035864648353211334,0.03181837125174311,0.03705212879461698
10,10,3,0:00:01.267055,0:00:01.269960,0:00:01.273525,0:00:01.263106,0:00:01.273589,0:00:01.270213,0:00:01.277000,0:00:01.274614,0:00:01.264001,0:00:01.280773,0.029675705654996772,0.029683402944497856,0.029709104494005448,0.029664644929281954,0.029676445403201326,0.029722916034792893,0.029686439562927536,0.029663038126147713,0.02968397513575347,0.029684062263790573
