target_rank,p_val,q_val,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9
20,8,2,0:00:01.525202,0:00:01.504063,0:00:01.501063,0:00:01.490950,0:00:01.512999,0:00:01.497654,0:00:01.486951,0:00:01.493107,0:00:01.501325,0:00:01.499516,7.553558839586082e-05,7.551580157591296e-05,7.553581955690837e-05,7.553659214110139e-05,7.553496569524699e-05,7.552844196055656e-05,7.551985469142916e-05,7.552614548836816e-05,7.55283307145685e-05,7.551127922481095e-05
20,8,3,0:00:01.663078,0:00:01.694290,0:00:01.707327,0:00:01.685978,0:00:01.671626,0:00:01.678871,0:00:01.689288,0:00:01.679616,0:00:01.665441,0:00:01.679457,7.552326613222608e-05,7.552191616809122e-05,7.551840353985866e-05,7.552808349657334e-05,7.553215886709334e-05,7.553590961758682e-05,7.552531583868997e-05,7.55205172155834e-05,7.551769415947245e-05,7.552609063379044e-05
20,10,0,0:00:01.182107,0:00:01.173000,0:00:01.179501,0:00:01.183932,0:00:01.187993,0:00:01.173147,0:00:01.179139,0:00:01.182633,0:00:01.194001,0:00:01.187934,0.00011159742025733456,0.00014745838094516885,0.00010025410345419659,9.288848073650228e-05,0.00017001611056601684,0.0001921845548786054,0.00015013212813517733,0.00018947163357266493,0.00017899647066772,0.00011119601606031417
20,10,1,0:00:01.354524,0:00:01.356041,0:00:01.361586,0:00:01.357584,0:00:01.370132,0:00:01.359138,0:00:01.368028,0:00:01.368000,0:00:01.366279,0:00:01.361081,7.553886406694368e-05,7.554029508399994e-05,7.553184125534794e-05,7.553824634050586e-05,7.554079498763167e-05,7.554043323264912e-05,7.553517311284178e-05,7.553843904356892e-05,7.553752275433032e-05,7.554048387919082e-05
20,10,2,0:00:01.555201,0:00:01.531134,0:00:01.540278,0:00:01.547261,0:00:01.550019,0:00:01.541548,0:00:01.540000,0:00:01.540954,0:00:01.530778,0:00:01.538129,7.553692668494155e-05,7.553789259789011e-05,7.553780610982996e-05,7.55404123037384e-05,7.554013481328812e-05,7.553896797715615e-05,7.554018046334598e-05,7.553879452252695e-05,7.553680886503223e-05,7.554038816259366e-05
20,10,3,0:00:01.724109,0:00:01.737626,0:00:01.717605,0:00:01.726000,0:00:01.739042,0:00:01.726534,0:00:01.728747,0:00:01.712188,0:00:01.733282,0:00:01.724673,7.554027699313784e-05,7.553814054065523e-05,7.554035966689558e-05,7.554014207358193e-05,7.553964766651048e-05,7.553966713064938e-05,7.553942705829777e-05,7.553780367589002e-05,7.553951205577915e-05,7.554030792684789e-05
30,0,0,0:00:01.287138,0:00:01.262989,0:00:01.266622,0:00:01.257000,0:00:01.260775,0:00:01.268996,0:00:01.284745,0:00:01.291237,0:00:01.291037,0:00:01.284705,0.00011807229048847217,0.00013619022144296158,0.0003841102571492829,0.00020690891055188596,0.00013496280981527397,0.0001105992843659872,0.00019385872109970264,0.00014514789725604397,0.00011131702617989226,0.00021762698022693283
30,0,1,0:00:01.473366,0:00:01.468613,0:00:01.452610,0:00:01.458694,0:00:01.466063,0:00:01.464917,0:00:01.467396,0:00:01.455606,0:00:01.457003,0:00:01.465049,4.2596435850752404e-05,4.281351855501784e-05,2.782054320889665e-05,4.245120902477225e-05,3.0781079635306164e-05,4.1655220250867823e-05,5.811496207041626e-05,3.6777156076657116e-05,3.6008000563207146e-05,4.102053486371837e-05
30,0,2,0:00:01.624575,0:00:01.631023,0:00:01.645122,0:00:01.635229,0:00:01.653179,0:00:01.629055,0:00:01.646299,0:00:01.647001,0:00:01.642383,0:00:01.637559,2.6743572840610563e-05,2.838219709725728e-05,3.17152655766602e-05,4.214776298233395e-05,1.0451076385861493e-05,4.314390212895631e-05,4.2804750083383235e-05,2.9109892618038883e-05,4.334444009905508e-05,4.3464211486432116e-05
30,0,3,0:00:01.838364,0:00:01.819117,0:00:01.843016,0:00:01.835203,0:00:01.823169,0:00:01.812607,0:00:01.827263,0:00:01.823970,0:00:01.851105,0:00:01.842499,1.629988934806276e-05,4.236690316609709e-05,2.541718336952103e-05,3.37844080827072e-05,1.2287693344732467e-05,2.1041558993372834e-05,3.829598316199179e-05,4.225324677350794e-05,3.605625036771122e-05,2.5739977395742424e-05
30,2,0,0:00:01.311269,0:00:01.306712,0:00:01.308019,0:00:01.301653,0:00:01.313001,0:00:01.311001,0:00:01.322182,0:00:01.334037,0:00:01.309425,0:00:01.312092,0.00011148810025757315,0.00016240826526328766,0.00010628524437497315,5.791546285353618e-05,8.548514027102456e-05,7.619081941791761e-05,8.592951801643843e-05,8.698115992765349e-05,0.00010635451919598253,0.00010451909950421161
30,2,1,0:00:01.531167,0:00:01.531871,0:00:01.529146,0:00:01.538110,0:00:01.544260,0:00:01.515984,0:00:01.546540,0:00:01.545847,0:00:01.543107,0:00:01.532826,4.260900332398396e-05,4.254732854654663e-05,4.315585199400161e-05,4.3608127479065566e-05,4.232020724433507e-05,4.120773800935353e-05,4.199050778184649e-05,4.253538471444288e-05,4.323493733928931e-05,4.2818243313983574e-05
30,2,2,0:00:01.759751,0:00:01.757931,0:00:01.744222,0:00:01.769026,0:00:01.698574,0:00:01.679728,0:00:01.680079,0:00:01.657501,0:00:01.690240,0:00:01.677647,4.2595803170076645e-05,4.335119362776883e-05,4.268175689634915e-05,4.2411430168636325e-05,4.252403856317145e-05,4.286565340504209e-05,4.279100951419204e-05,4.3064945389902884e-05,4.272774001482497e-05,4.2683851083264456e-05
30,2,3,0:00:01.879543,0:00:01.876607,0:00:01.875971,0:00:01.865251,0:00:01.874324,0:00:01.868541,0:00:01.890265,0:00:01.964498,0:00:01.956840,0:00:01.986582,4.2638092161237416e-05,4.270842259501175e-05,4.272275678024881e-05,4.2237762346376065e-05,4.270946940201023e-05,4.2782891561859406e-05,4.2634165938572045e-05,4.263891503061809e-05,4.272328852078839e-05,4.2726673256209846e-05
30,5,0,0:00:01.318937,0:00:01.341302,0:00:01.326042,0:00:01.362421,0:00:01.320101,0:00:01.309038,0:00:01.333003,0:00:01.332152,0:00:01.326647,0:00:01.311185,4.1419012779581475e-05,3.9260617964458915e-05,4.329478871405209e-05,4.071000860942982e-05,3.889171999933879e-05,4.2454709364131065e-05,5.0903371577555295e-05,5.086234751574812e-05,4.72817179503857e-05,3.83670314473681e-05
30,5,1,0:00:01.543436,0:00:01.543000,0:00:01.548433,0:00:01.533356,0:00:01.544147,0:00:01.530500,0:00:01.554100,0:00:01.533003,0:00:01.536959,0:00:01.541997,4.258518350042199e-05,4.2629207933870203e-05,4.2585828016566966e-05,4.2586054141094015e-05,4.258478536181218e-05,4.258041328511354e-05,4.261706556060057e-05,4.256627090711599e-05,4.25571825883078e-05,4.259890325266064e-05
30,5,2,0:00:01.776092,0:00:01.781761,0:00:01.760894,0:00:01.768352,0:00:01.749142,0:00:01.752127,0:00:01.785283,0:00:01.751770,0:00:01.865551,0:00:01.779460,4.258512010812651e-05,4.2588862874126595e-05,4.258809244963903e-05,4.258870326522894e-05,4.258152581607869e-05,4.258815393643871e-05,4.258736224630068e-05,4.2588082423594425e-05,4.25876027436343e-05,4.258629701411551e-05
30,5,3,0:00:01.968650,0:00:01.966683,0:00:02.070464,0:00:01.979101,0:00:01.980773,0:00:01.986245,0:00:01.992333,0:00:01.982247,0:00:01.984055,0:00:02.014384,4.258912063005347e-05,4.258853566482164e-05,4.2586522455701554e-05,4.2588380078681384e-05,4.258832133117517e-05,4.258839005938025e-05,4.2588321164227956e-05,4.2588916410779306e-05,4.2589153580604765e-05,4.259125974631156e-05
30,8,0,0:00:01.422567,0:00:01.722005,0:00:01.334035,0:00:01.264558,0:00:01.284001,0:00:01.285615,0:00:01.279492,0:00:01.291000,0:00:01.293604,0:00:01.277597,4.1420721266537096e-05,4.122261987459948e-05,3.467609394878021e-05,4.367582946927299e-05,4.1811434239001504e-05,4.25074196463219e-05,4.249190229649804e-05,4.182197419205672e-05,4.035364037266783e-05,4.286806344217453e-05
30,8,1,0:00:01.534590,0:00:01.504576,0:00:01.540939,0:00:01.511001,0:00:01.522529,0:00:01.509862,0:00:01.498950,0:00:01.500606,0:00:01.525001,0:00:01.514552,4.258349348378882e-05,4.2581496613921255e-05,4.257556598971717e-05,4.2578726543601714e-05,4.257351149523053e-05,4.258298618208635e-05,4.258033166376031e-05,4.2580601082192384e-05,4.2572359735272364e-05,4.2578147684552736e-05
30,8,2,0:00:01.751000,0:00:01.747821,0:00:01.734363,0:00:01.733885,0:00:01.746417,0:00:01.748109,0:00:01.745000,0:00:01.754137,0:00:01.739000,0:00:01.732592,4.2574443162664446e-05,4.2575458428893064e-05,4.257424213355016e-05,4.257863381025659e-05,4.257738061606551e-05,4.257379677706671e-05,4.25761240889583e-05,4.2569572649009746e-05,4.2575325788361544e-05,4.2575144704715825e-05
30,8,3,0:00:01.964508,0:00:01.969560,0:00:01.966945,0:00:01.983279,0:00:01.958687,0:00:01.969616,0:00:01.956206,0:00:01.984161,0:00:01.968141,0:00:01.962001,4.257377878203752e-05,4.257582216621863e-05,4.2576924483438825e-05,4.25726631876489e-05,4.257290903633437e-05,4.256994937636569e-05,4.257515288785562e-05,4.257072613855871e-05,4.257313217764162e-05,4.25759451674187e-05
30,10,0,0:00:01.289001,0:00:01.289001,0:00:01.305309,0:00:01.298936,0:00:01.299000,0:00:01.293273,0:00:01.307552,0:00:01.293004,0:00:01.291823,0:00:01.293543,4.009842674581364e-05,4.0761538304528304e-05,4.148861909586317e-05,4.1605933598998815e-05,4.2851052664777474e-05,4.2871524978088185e-05,4.1091523158144e-05,4.155559660632873e-05,4.123180852254745e-05,4.0339647035794085e-05
30,10,1,0:00:01.528569,0:00:01.542000,0:00:01.557001,0:00:01.543167,0:00:01.510308,0:00:01.527641,0:00:01.534622,0:00:01.538140,0:00:01.536999,0:00:01.545546,4.257157553930005e-05,4.2572151777572645e-05,4.257355487103605e-05,4.256712866112255e-05,4.2573515678880335e-05,4.257208841272732e-05,4.255953081594559e-05,4.256758203026343e-05,4.256803123979398e-05,4.257077360519248e-05
30,10,2,0:00:01.778001,0:00:01.783151,0:00:01.772559,0:00:01.766545,0:00:01.773255,0:00:01.770816,0:00:01.781212,0:00:01.773000,0:00:01.762224,0:00:01.776168,4.257721900917061e-05,4.2574930283067217e-05,4.2572024348281324e-05,4.257407539027244e-05,4.2574327174072776e-05,4.25670988894171e-05,4.2571171893014555e-05,4.2570835420522556e-05,4.257207009768635e-05,4.2574310902310545e-05
30,10,3,0:00:02.025353,0:00:02.022551,0:00:02.007606,0:00:02.039617,0:00:02.029934,0:00:02.008999,0:00:02.014758,0:00:02.017114,0:00:02.016247,0:00:02.016652,4.2572377509004856e-05,4.25696002433926e-05,4.256947927730064e-05,4.2569664900566136e-05,4.257271378824997e-05,4.257405013230778e-05,4.256124754927842e-05,4.256767148483556e-05,4.2574604083577874e-05,4.257168789666662e-05
40,0,0,0:00:01.397282,0:00:01.402411,0:00:01.401888,0:00:01.396650,0:00:01.407252,0:00:01.401475,0:00:01.417564,0:00:01.401308,0:00:01.398903,0:00:01.343881,2.6704905913145176e-05,1.934660426270737e-05,1.7396047282153098e-05,2.4090942433714e-05,2.59772939016691e-05,2.1525167928278445e-05,1.6082423798194173e-05,2.4966503709749002e-05,2.0756097642444036e-05,2.0693181022347387e-05
40,0,1,0:00:01.654073,0:00:01.642470,0:00:01.641142,0:00:01.632000,0:00:01.681001,0:00:01.639061,0:00:01.628556,0:00:01.655175,0:00:01.647763,0:00:01.644722,2.9375309837050856e-06,2.8949949088566196e-06,2.9440155368181285e-06,2.7348986029258643e-06,2.5023038903531857e-06,3.215571115929691e-06,3.002723251096535e-06,2.5605734023797824e-06,2.8581747445652737e-06,2.7445455806210262e-06
40,0,2,0:00:01.878195,0:00:01.885001,0:00:01.880009,0:00:01.884053,0:00:01.884385,0:00:01.888218,0:00:01.896606,0:00:01.886182,0:00:01.866514,0:00:01.884340,1.8551816024669625e-06,1.6673706782886075e-06,1.8703230154863933e-06,1.8894920494795258e-06,1.663958311953698e-06,1.6297383025753019e-06,1.764026112781544e-06,2.2384887368967627e-06,1.856305431192487e-06,1.6886683186793781e-06
40,0,3,0:00:02.119531,0:00:02.145214,0:00:02.130156,0:00:02.112106,0:00:02.119705,0:00:02.175817,0:00:02.132994,0:00:02.125897,0:00:02.126581,0:00:02.123315,1.5797741791160096e-06,1.608892333558065e-06,1.6096245652092968e-06,1.6750060139199715e-06,1.7094333737313362e-06,1.5958876969844292e-06,1.712418877696126e-06,1.635534926401955e-06,1.7331386421380155e-06,1.6626279161938147e-06
40,2,0,0:00:01.419000,0:00:01.419000,0:00:01.431865,0:00:01.430670,0:00:01.418830,0:00:01.429000,0:00:01.413000,0:00:01.421535,0:00:01.424585,0:00:01.413001,1.955000328382817e-05,1.8960292412847528e-05,1.7115590160640315e-05,3.056654187132944e-05,2.3181211473493255e-05,2.208912068383773e-05,2.0355578821795965e-05,2.0257870178442817e-05,2.0098779306325973e-05,1.9328229904908708e-05
40,2,1,0:00:01.666161,0:00:01.680178,0:00:01.667223,0:00:01.682034,0:00:01.677281,0:00:01.676516,0:00:01.671737,0:00:01.671950,0:00:01.680001,0:00:01.678376,2.4843339599364687e-06,2.640706804638698e-06,2.7972369650608405e-06,2.679391866641663e-06,2.5774832962221736e-06,2.586331424012173e-06,2.5749747371276738e-06,2.8179254364735766e-06,2.441436563260259e-06,2.2184444151839354e-06
40,2,2,0:00:01.933435,0:00:01.933561,0:00:01.934571,0:00:01.946004,0:00:01.966531,0:00:01.925153,0:00:01.936612,0:00:01.942590,0:00:01.934304,0:00:01.909156,1.6557670098558105e-06,1.8690384546781445e-06,1.7532894678836002e-06,1.6368327020765675e-06,1.605632499755041e-06,1.724623297086623e-06,1.7104868279092275e-06,1.6262426872828018e-06,1.7081270503499723e-06,1.6166690262286061e-06
40,2,3,0:00:02.189585,0:00:02.201607,0:00:02.218705,0:00:02.186294,0:00:02.203078,0:00:02.193931,0:00:02.185629,0:00:02.196056,0:00:02.209529,0:00:02.195097,1.5573825326370241e-06,1.4884596383916807e-06,1.4988915075351708e-06,1.5743249144035704e-06,1.5240822500336818e-06,1.5518197447502668e-06,1.482138198193669e-06,1.4406211853254393e-06,1.6753607633640507e-06,1.6485010817554392e-06
